_id,author_details,title,isbn,publisher,date_published,rating,read,series_details,pages,notes,list_price,format,description,genre,language,date_added,last_update_date,book_uuid
391,"Speirs, Steve","7 Weeks to 100 Push-Ups: Strengthen and Sculpt Your Arms, Abs, Chest, Back and Glutes by Training to do 100 Consecutive Push-Ups",9781569757079,Ulysses Press,2009-06-01,0,0,,128,,15.95,Paperback,"<DIV><STRONG>""As a symbol of health and wellness, nothing surpasses the simple push-up. It tests the whole body, engaging muscle groups in the arms, chest, abdomen, hips and legs."" ―<EM>The New York Times</EM></STRONG> <BR><BR>If you're ready to massively increase your strength, follow the 7-week program in this book and you'll soon be able to complete 100 consecutive push-ups! You'll also transform your fitness, look great and feel even better as you sculpt every muscle from your neck down to your calves.<BR><BR>Offering several custom-designed, day-by-day plans, this book has something for everyone: from beginners embarking on a new workout regimen to athletes looking to enhance their strength training program.<BR><BR>Unleashing the power of the ultimate strength exercise <EM>7 Weeks to 100 Push-Ups</EM> includes:<BR><BR><STRONG>•Instruction on how to do a perfect push-up<BR>•Muscle-by-muscle breakdown of strength-building<BR>•Challenging push-up variations</STRONG><BR></DIV>",Health & Fitness / Exercise,English,2017-10-30 23:42:40,2017-10-30 23:42:40,af0a9e785295eddf5db0bb976acfc2df
392,"Books, Sunset Magazines &|Books, Sunset|Magazine, Sunset|Staff, Sunset Publishing",Sunset Garden and Patio Building Book,9780376012142,Sunset Books Inc,1982-07-01,0,0,,96,,,Paperback,"The editors of Sunset have long recognized the need for a basic book on outdoor building that could be used time and again as a reference for homeowners - whether they be handyman types or all-thumbs suburbanites faced with the necessity of building a fence or constructing a patio overhead.  Behind the extensive research and planning for this book was a primary objective: to present in pictorial fashion the best known and recognized building materials and procedures, combined with imaginative new techniques and ideas.",House & Home / General,English,2017-10-30 23:45:58,2017-10-30 23:45:58,5909fb275b27c1fa947713ed0cb88f6a
393,"Collective, The Moosewood|Collective, Moosewood",Moosewood Restaurant Cooks at Home: Fast and Easy Recipes for Any Day,9780671679927,Touchstone,1994-04-19,0,0,,416,,25,Paperback,"Winner of the 1995 James Beard Award for Best Vegetarian Cookbook Although many people think that cooking without meat means spending more time in the kitchen, the cooks at the world-renowned Moosewood Restaurant know this isn't so. Busy balancing home, work, and other commitments, they've been cooking for family and friends every day of the week for over twenty years. <i>Moosewood Restaurant Cooks at Home</i> is the result of that experience -- over 150 carefully honed and tested recipes calling for the best ingredients, accompanied by time-saving tips and planning suggestions, add up to a delicious whole-foods cuisine that is versatile and healthful and can be prepared with a minimum of effort.<br /><br />This book contains dishes full of exciting flavors, sure to please every taste, from savory soups to substantial main-dish salads, from hearty stews to palate-teasing ""small dishes."" Sauces, salsas and dressings, and a collection of almost-instant desserts turn the simplest meal into an occasion.<br /><br />Chapters on techniques and menu planning, lists of recipes for special needs, including nondairy and vegan fare and kid-pleasing food, as well as an in-depth guide to stocking the meatless pantry (including a list of recommended convenience foods), make <i>Moosewood Restaurant Cooks at Home</i> the essential companion to everyday cooking.",Cooking / Vegetarian & Vegan,English,2017-10-30 23:46:41,2017-10-30 23:46:41,68ce3b06cda3736ad19815d3e7216ea4
394,"Fields, Denise|Brown, Ari",Baby 411: Clear Answers & Smart Advice For Your Baby's First Year,9781889392455,Windsor Peak Press,2013-08-08,0,0,,608,,14.95,Paperback,"You are having a baby! Congratulations! Now, the reality hits you—what the heck am I doing?  What if you could bottle the wisdom of all those parents who’ve come before you . . . and mix it with the solid medical advice from an nationally-renowned pediatrician? Baby 411 is the answer! Think of it as the ultimate FAQ for new parents. Inside you’ll learn:<br /><br />•<b> How to pick a pediatrician</b> with savvy questions to ask and insider tips.<br />  <br /><br />• <b>Sleep</b>. The best way to get your baby to sleep through the night.<br /><br /><br /> • <b>First aid</b>—when to worry, when not . . . and what to do when baby gets sick. No-nonsense, down-to-earth advice you can trust.<br /><br /><br /> • <b>Fussy baby 411.</b> Is it colic? Acid reflux? Or something else? Discover  the secrets to soothing a fussy baby.   <br /><br /><br /> • <b>Detailed nutrition info</b> with a step-by-step guide for successful breastfeeding, introducing solid food and the ‘‘new and improved’’ formulas. Plus: simple steps to avoid food allergies!<br /><br /><br /> •<b> Is my baby normal?</b> Learn how your baby will grow and develop!<br />  <br /><br /><i>New in this revised 6th edition:</i><br /><br /> •<b> </b>Is that safe sleep position giving your baby a <b>flat head</b>? What can be done to prevent this?<br /><br /> •<b> </b><b>Organic baby food 411:</b> new advice from the American Academy of Pediatrics what your baby should eat, what to avoid.<br /><br /> •<b> </b><b>Does your baby need an iPad? </b>The latest research on how baby's learn and whether digital devices help or hurt.<br /><br /> •<b> </b>How to protect your baby from the <b>flu</b>, <b>whooping cough</b> and other <b>diseases</b> in the headlines today!<br /><br /><br /> All that and more in the new, updated and revised BABY 411!<br /><br /> ",Family & Relationships / Reference,English,2017-10-30 23:46:52,2017-10-30 23:46:52,9fd3ba580aab9002c28df6c4bd5d4419
395,"Roehl, Evelyn|Jacobsen, Mary Elder",Whole Food Facts: The Complete Reference Guide,9780892816354,Healing Arts Press,1996-06-01,0,0,,296,,24.95,Paperback,"This easy-to-read compendium is an indispensable guide to meal planning, cooking, and shopping for both the beginner and the experienced whole food cook. From amazake and arugula to shiitake and teff, Evelyn Roehl offers the most up-to-date information on buying and cooking with whole foods. The familiar as well as the exotic in fruits and vegetables, dairy products, grains and legumes, oils, and sweeteners are discussed in detail in this A-Z reference guide no kitchen should be without. <br />Updated and enlarged edition. <br /><br />With more natural foods and organic produce in supermarkets, the new USDA Food Pyramid Guide, and recently published information on the value of nutrients and specialty diets, more health-conscious consumers are seeking information on selecting, preparing, and storing whole foods. <br /><br />The author provides comprehensive nutritional charts and a complete discussion of diets, including vegetarian, macrobiotic, and the new USDA-recommended diet. <br /><br />A special chapter on nutrients answers the frequently-asked questions What is it?, How do I use it?, How nutritious is it?, and Where does it come from?.",Health & Fitness / Diet & Nutrition / Nutrition,English,2017-10-30 23:47:11,2017-10-30 23:47:11,eec0c8d1c14cf8b4a85252c00c0b1d0b
396,"Gartenstein, Devra",Local Bounty: Seasonal Vegan Recipes,9781570672194,Book Publishing Company (TN),2008-09-01,0,0,,187,,17.95,Paperback,"The marriage of vegan foods and seasonal produce is a natural one: plant-based foods follow annual cycles and both are healthy and environmentally sustainable. Ripe local produce has the most flavor and nutritional value, uses fewer resources to store and deliver, is more economical to buy, and often supports local farmers. Local Bounty reintroduces the world of seasonal produce: leafy greens in the spring, tomatoes, peppers, and summer squash during the summer and fall, and root vegetables and winter squash during the cooler months. The bounty of the garden is transformed into wonderful meals that will truly nourish and satisfy with a minimum of fuss to prepare. Real food, real taste.",Cooking / Vegan,English,2017-10-30 23:47:36,2017-10-30 23:47:36,b4743422310bf04aa2aa02032c4cbaae
397,"Mitchell, Carolyn B.|Collective, The Moosewood|Collective, Moosewood|Restaurant, Moosewood",Sundays at Moosewood Restaurant: Sundays at Moosewood Restaurant,9780671679903,Touchstone,1990-10-15,0,0,,736,,27,Paperback,"Since its opening in 1973, Moosewood Restaurant in Ithaca, New York, has been synonymous with creative cuisine with a healthful, vegetarian emphasis.<br /><br />Each Sunday at Moosewood Restaurant, diners experience a new ethnic or regional cuisine, sometimes exotic, sometimes familiar. From the highlands and grasslands of Africa to the lush forests of Eastern Europe, from the sun-drenched hills of Provence to the mountains of South America, the inventive cooks have drawn inspiration for these delicious adaptations of traditional recipes.<br /><br />Including a section on cross-cultural menu planning as well as an extensive guide to ingredients, techniques, and equipment, <i>Sundays at Moosewood Restaurant</i> offers a taste for every palate.<br /><br />Moosewood Restaurant is run by a group of eighteen people who rotate through the jobs necessary to make a restaurant work. They plan menus, set long-term goals, and wash pots.<br /><br />Moosewood Restaurant contributes 1% of its profits from the sale of this book to the Eritrean Relief Fund, which provides food and humanitarian assistance to the Eritrean people.<br /><br />Moosewood Restaurant supports 1% For Peace, an organization working to persuade the government to redirect 1% of the Defense Department budget towards programs that create and maintain peace in positive ways.",Cooking / Vegetarian & Vegan,English,2017-10-30 23:48:03,2017-10-30 23:48:03,883a2690be97f265d94b69f2894fb7c9
398,"Pollan, Michael","Omnivore's Dilemma: A Natural History of Four Meals, The",9780143038580,Penguin Books,2007-08-28,0,0,,450,,18,Paperback,"Today, buffeted by one food fad after another, America is suffering from what can only be described as a national eating disorder. Will it be fast food tonight, or something organic? Or perhaps something we grew ourselves? The question of what to have for dinner has confronted us since man discovered fire. But as Michael Pollan explains in this revolutionary book, how we answer it now, at the dawn of the twenty-first century, may determine or survival as a species. Packed with profound surprises, The Omnivore's Dilemma is changing the way Americans think about the politics, perils, and pleasures of eating.",,English,2017-10-30 23:48:53,2017-10-30 23:48:53,0aa8f5932db1c47e09bb87192e91851c
399,"Robbins, John",Healthy at 100: The Scientifically Proven Secrets of the World's Healthiest and Longest-Lived Peoples,9780345490117,Ballantine Books,2007-08-28,0,0,,384,,18,Paperback,"Why do some people age in failing health and sadness, while others grow old with vitality and joy?<br /><i>\n  <br /></i>In this revolutionary book, bestselling author John Robbins presents us with a bold new paradigm of aging, showing us how we can increase not only our lifespan but also our health span. Through the example of four very different cultures that have the distinction of producing some of the world’s healthiest, oldest people, Robbins reveals the secrets for living an extended and fulfilling life in which our later years become a period of wisdom, vitality, and happiness. From Abkhasia in the Caucasus south of Russia, where age is beauty, and Vilcabamba in the Andes of South America, where laughter is the greatest medicine, to Hunza in Central Asia, where dance is ageless, and finally the southern Japanese islands of Okinawa, the modern Shangri-la, where people regularly live beyond a century, Robbins examines how the unique lifestyles of these peoples can influence and improve our own.<br /><br />Bringing the traditions of these ancient and vibrantly healthy cultures together with the latest breakthroughs in medical science, Robbins reveals that, remarkably, they both point in the same direction. The result is an inspirational synthesis of years of research into healthy aging in which Robbins has isolated the characteristics that will enable us to live long and–most important–joyous lives. With an emphasis on simple, wholesome, but satisfying fare, and the addition of a manageable daily exercise routine, many people can experience great improvement in the quality of their lives now and for many years to come. But perhaps more surprising is Robbins’ discovery that it is not diet and exercise alone that helps people to live well past one hundred. The quality of personal relationships is enormously important. With startling medical evidence about the effects of our interactions with others, Robbins asserts that loneliness has more impact on lifespan than such known vices as smoking. There is clearly a strong beneficial power to love and connection.<br /><br />“We all have the tools to live longer lives, and to remain active, productive, and resourceful until the very end,” Robbins writes. <i>Healthy at 100</i> strives to improve both the quality and the quantity of our remaining years–no matter how old or how healthy we might currently be–and to reverse the social stigma on aging. After reading this book, we will never think about age–or life–in the same way again.<br /><br />“John Robbins has inspired millions of people with his eloquent, clear, compassionate, and insightful guidance on the path to health and fulfillment. Healthy at 100 may be his finest work to date. If you are interested in extending your health span as well as your life span, read this book! Healthy at 100 is a masterpiece.”<br />–Dean Ornish, M.D., president and director of the Preventive Medicine Research Institute, author of <i>Dr. Dean Ornish’s Program for Reversing Heart Disease</i><br /><br />“This is a remarkably open and heartfelt book full of wisdom and love by an extraordinary man who has been teaching us how to live more healthy and compassionate lives for over twenty years now. John Robbins has created a new vision of aging for American society.”<br />–John Mackey, CEO, <i>Whole Foods</i><br /><br />“John Robbins is one of the most important voices in America today. He cuts through nonsense like no one else does. He gives hope like no one else does. His words are lifelines for both the body and soul. This book can literally save our lives.”<br />–Marianne Williamson, author of <i>A Return to Love </i>and <i>A Woman’s Worth</i><br /><br />“Healthy at 100 is a marvelous blend of wisdom, hope, courage, and common sense. John Robbins gives us caring, science, and inspiration–a beautiful diet for the heart.”<br />–Jack Kornfield, co-founder of the Insight Meditation Society and Spirit Rock, author of <i>A Path with Heart</i><br /><br />“As the low-carb diet craze is gone, John Robbins proposes a far healthier approach that leads not just to a healthy weight but also to a joyful and fulfilled life. Healthy at 100 is packed with informed and heartfelt wisdom.”<br />–Jorge Cruise, author of <i>The 3-Hour Diet</i>, creator of JorgeCruise.com<br /><i>\n  <br /></i>“John Robbins inspires me on every page. His unique experiences and viewpoints were the reasons I wanted him to be in my film Super Size Me<i>.</i> This book only reinforces my faith in him as a thought-provoking humanitarian.”<br />–Morgan Spurlock, producer and director of <i>Super Size Me</i><br /><br /><br /><i>From the Hardcover edition.</i>",,English,2017-10-30 23:49:05,2017-10-30 23:49:05,52a4c92935f0644fa8afdd1b4b3b1383
400,"Weisenfeld, Murray F.|Weisenfeld, Murray F","Runners' Repair Manual: A Complete Program for Diagnosing and Treating Your Foot, Leg, and Back Problems, The",312695969,St. Martin's Press,1980-01-01,0,0,,193,,,Unknown Binding,"<i>The Runners’ Repair Manual</i> is the resource every runner needs to prevent and treat running-related injuries. Podiatrist Murray F. Weisenfeld offers crucial advice on injury prevention, explains the nature of common injuries, and provides clear, detailed advice for treating injuries. Easy to read and full of information, <i>The Runners’ Repair Manual</i> will quickly become your go-to resource.",,English,2017-10-30 23:49:40,2017-10-30 23:49:40,9d35ccb9ab21367a2c0eebe099dd590d
401,"Brzycki, Matt|Fornicola, Fred",Dumbbell Training for Strength and Fitness,9780976336136,Blue River Press,2006-03-01,0,0,,174,,14.95,Paperback,Covers various aspects of proper strength training. This title debunks certain myths and misconceptions such as explosive training and sport-specific training. It shows how to perform nearly 50 exercises with dumbbells in a safe and effective manner.,,English,2017-10-30 23:50:06,2017-10-30 23:50:06,3e84bd00526c66ba5a3fac34e5e7fa81
402,"Farrand, John","Audubon Society Master Guide to Birding: Loons to Sandpipers, The",394533828,Knopf,1983-10-12,0,0,,447,,16.95,Paperback,A field handbook for bird watchers shows and describes all of the 835 species of birds in North America,Science / General,English,2017-10-30 23:50:38,2017-10-30 23:50:38,f8d37d35af990160ade013063b79a580
403,"Farrand, John|Society, National Audubon","Audubon Society Master Guide to Birding: Old World Warblers to Sparrows, The",394533836,Knopf,1983-10-12,0,0,,399,,19,Paperback,"Covering all 835 species of birds recorded on the continent, including 116 accidentals, this is the first field guide to North American birds specifically designed to satisfy the interests and needs of the serious birder. Its three volumes contain, in all, 1245 full-color photographs, 193 paintings, 422 drawings, and 650 range maps, while 61 of the nation's top field ornithologists and experts contribute their special knowledge to the 370,000 words of text. Entries are arranged taxonomically according to the new American Ornithologists' Union classification.<br /><br />This volume contains:<br /><br />Old World Warblers and Thrushes, Mimic-Thrushes, Accentors, Wagtails and Pipits, Waxwings, Silky-Flycatchers, Shrikes, Starlings, Vireos, Wood Warblers, Bananaquits, Tanagers, Cardinals and Thier Allies, New World Blackbirds and Orioles, Finches, Old World Sparrows<br /><br />Volume 1 contains:<br /><br />Loons, Grebes, Albatrosses, Shearwaters and Petrels, Storm-Petrels, Tropicbirds, Boobies and Gannets, Pelicans, Cormorants, Anhingas, Frigatebirds, Herons, Ibises and Spoonbills, Storks, Flamingos, Swans, Geese, and Ducks, New World Vultures, Hawks and Eagles, Falcons, Chachalacas, Pheasants, Grouse, and Quails, Rails, Limpkins, Cranes, Thick-knees, Plovers, Oystercatchers, Stilts and Avocets, Jacanas. Sandpipers<br /><br />Volume 2 contains:<br /><br />Gulls, Terns, and Skimmers, Auks, Pigeons and Doves, Parrots, Cuckoos, Barn-Owls, Typical Owls, Nightjars, Swifts, Hummingbirds, Trogons, Hoopoes, Kingfishers, Woodpeckers, Tyrant-Flycatchers, Larks, Swallows, Jays and Crows, Titmice, Verdins, Bushtits, Nuthatches, Creepers, Bulbuls, Wrens, Dippers",Birds,English,2017-10-30 23:50:58,2017-10-30 23:50:58,7b3d06413e27d18a324082286800c975
404,"Farrand, John","Audubon Society Master Guide to Birding: Gulls to Dippers, The",394533844,Knopf,1983-10-12,0,0,,398,,16.95,Paperback,A field handbook for bird watchers shows and describes all of the 835 species of birds in North America,Science / General,English,2017-10-30 23:56:04,2017-10-30 23:56:04,2074961836595a19fcfd8e41cca26b3d
405,"Ehrlich, Paul R.|Dobkin, David S.|Wheye, Darryl|Ehrlich, Paul",Birder's Handbook: A Field Guide to the Natural History of North American Birds,671659898,Touchstone,1988-06-15,0,0,,785,,22.99,Paperback,"This is the most complete and authoritative reference book about the birds of North America -- up to date and in field-guide format. <br /><br />The Birder's Handbook is the first of its kind: a portable library of fascinating information not included in your identification guide. For each of the 646 species of birds that breed in North America, The Birder's Handbook will tell you at a glance: <br />* Where the bird nests, and which sex(es) build(s) the nest;<br />* How many eggs the bird lays, what they look like, which patent incubates and for how long, and how the young are cared for;<br />* Food preferences and foraging habits.<br /><br />You will also find information about displays and mating, wintering, conservation status, and much more. In addition, The Birder's Handbook contains some 250 short essays covering all aspects of avian natural history.",Nature / Birdwatching Guides,English,2017-10-30 23:56:19,2017-10-30 23:56:19,f817278a8b77ed3d0eb3a9cab16a482b
406,"Peterson, Roger Tory|Peterson/Mountfort/Hollom, ",Field Guide to Birds of Britain and Europe,395480884,Houghton Mifflin,1988-03-01,0,0,Peterson Field Guides (8),288,,,Paperback,"With 364 range maps and 96 color plates portraying 548 species, this is the classic field guide to European birds. Covering 698 species, the descriptive text includes information on geographical races, vagrants, and introduced species. Confusing species such as waders, raptors, and warblers have additional notes on how to distinguish them.",Juvenile Nonfiction / Animals / Birds,English,2017-10-30 23:56:35,2017-10-30 23:56:35,d94de6a63569513a2dc3a49a25643105
407,"Simpson, Ken|Day, Nicholas|Day, Nicolas|Aumann, Tom|Day, Simpson &",Field Guide To The Birds Of Australia: A Book Of Identification,670900729,Penguin Books Australia,1984,0,0,,360,,,Paperback,"A reference guide for the birds of Australia, which contains 20 plates, and a distribution map for each species showing subspecies distribution where appropriate. It contains over 1000 black and white illustrations that illustrate behaviours, flight silhouettes, comparisons between related species and other useful identification pointers.",Nature / Animals / Birds,,2017-10-30 23:57:03,2017-10-30 23:57:03,f9c51484308efae7f94ea0012bb8b2ba
408,"Tekiela, Stan",Birds of Oregon,9781885061317,Adventure Publication,2001-10-01,0,0,,307,,13.95,Paperback,"Make bird watching in Oregon even more enjoyable! With <b>Stan Tekiela</b>'s famous field guide, bird identification is simple and informative. There's no need to look through dozens of photos of birds that don't live in Oregon. This book features 130 species of Oregon birds, organized by color for ease of use. Do you see a yellow bird and don't know what it is? Go to the yellow section to find out. Fact-filled information, a compare feature, range maps and detailed photographs help to ensure that you positively identify the birds that you see.",Nature / Reference,English,2017-10-30 23:57:23,2017-10-30 23:57:23,80e48f4666fdb61dd4f0f0146a46c205
409,"Ehrlich, Paul R.|Wheye, Darryl|Dobkin, David|Ehrlich, Paul",Birds in Jeopardy: The Imperiled and Extinct Birds of the United States and Canada,804719810,Stanford University Press,1992-03-01,0,0,,260,,28.95,Paperback,"As the human population skyrockets and the toxic impact of human society spreads, the natural habitats of birds degrade and diminish and the bird populations decline. Two hundred years ago, when the United States and Canada were home to less than 5 million people, they were also home to some 650 species of birds. Today, more than 280 million people live there, and 33 bird species have already been driven to extinction and well over 150 are in danger of extinction in all or parts of their range. This book, organized and written by the authors of The Birder's Handbook, and enriched by 191 strikingly beautiful color paintings illustrating all of the birds treated, is the first concise, authoritative review of the status of the birds currently imperiled in the United States and Canada - those that are federally listed as Endangered or Threatened and those that are listed by the National Audubon Society as suffering local or regional or widespread decline. It also treats the birds that have been driven to extinction in the past two centuries, since the stories of their somber fates can help us learn how to save the other birds that are in jeopardy. Because birdwatchers and others are showing increased interest in the tropical birds that survive in Hawaii and Puerto Rico, the book includes separate sections on the imperiled and extinct birds of those areas. Hawaii is of special importance: because it has seen so many extinctions just in the years since Cook's arrival (23 species and subspecies), it provides a laboratory for studying the impact of civilization on birds in the wild. The individual texts - written in clear, non-technical language - cover requirements for successful nesting andfeeding; worldwide and North American breeding range, wintering range, and imperiled portions of range; current population estimates (for Threatened and Endangered birds); behavioral and other factors pertinent to conservation; former and/or current threats associated with decline",,English,2017-10-30 23:58:14,2017-10-30 23:58:14,58235de4eadae06ee6e6870f92a94323
410,"Perrins, Christopher M.","Illustrated Encyclopaedia Of Birds: The Definitive Guide To Birds Of The World, The",074720277X,Headline Book Publishing,1997-01-02,0,0,A Marshall edition,420,,,Paperback,"Offers descriptions and illustrations of approximately 1,200 of the world's birds.",,English,2017-10-30 23:58:43,2017-10-30 23:58:43,b5be17efd93d66a4b7ec35da4a773e14
411,"Sears, James|Sears, Martha|Sears, Robert|Sears, William","Baby Book: Everything You Need to Know About Your Baby from Birth to Age Two, The",316778001,"Little, Brown and Company",2003-03-31,0,0,,784,,,Paperback,"The ""baby bible"" of the post-Dr. Spock generation, already embraced by hundreds of thousands of American parents, has now been revised, expanded, and brought thoroughly up-to-date -- with the latest information on everything from diapering to day care, from midwifery to hospital birthing rooms, from postpartum nutrition to infant development. Dr. Bill and Martha Sears draw from their vast experience both as medical professionals and as the parents of eight children to provide comprehensive information on virtually every aspect of infant care. Working for the first time with their sons Dr. Bob and Dr. Jim, both pediatric specialists in their own right, the Searses have produced a completely updated guide that is unrivaled in its scope and authority. The Baby Book focuses on the essential needs of babies -- cating, sleeping, development, health, and comfort -- as it addresses the questions of greatest concern to today's parents. The Baby Book presents a practical, contemporary approach to parenting that reflects the way we live today. The Searses acknowledge that there is no one way to parent a baby, and they offer the basic guidance and inspiration you need to develop the parenting style that best suits you and your child. The Baby Book is a rich and invaluable resource that will help you get the most out of parenting -- for your child, for yourself, and for your entire family.",Psychology / Developmental / Child,,2017-10-31 15:13:51,2017-10-31 15:13:51,a16ac3c1e09b01ce376ad3cca91ad137
412,"Plato, |Nehamas, Alexander|Woodruff, Paul",Symposium,872200760,"Hackett Publishing Company, Inc.",1989-05-01,0,0,Hackett Classics,109,,11,Paperback,"""A model of the kind of text one needs for lecture courses: the translation is extremely readable and made even more accessible by intelligent printing decisions (on dividing the text, spacing for clarification, etc.); the notes are kept to a minimum but appear when they are really needed for comprehension and are truly informative. And the introduction admirably presents both basic information and a sense of current scholarly opinion."" -- S G Nugent, Princeton University<br /><br />One of the most famous works of literature in the Western world, Plato's Symposium is also one of the most entertaining. The scene is a dinner party in Athens in 416 B.C. at which the guests - including the comic poet Aristophanes and Plato's mentor, Socrates - playfully discuss the nature of eros, or love. By turns earthly and sublime, the dialogue culminates with Socrates's famous account of the ""ladder of love,"" an extended analysis of the many forms of eros. The evening ends with a speech by the drunken Alcibiades, the most popular and powerful Athenian of the day, who insists on praising Socrates rather than love, offering up a brilliant character sketch of the enigmatic philosopher.",Philosophy / History & Surveys / Ancient & Classical,English,2017-11-06 23:22:08,2017-11-06 23:22:08,a6fb6d8f70c8768da21ff050e931279b
413,"Aristotle, ",Introductory Readings,872203395,Hackett Publishing Company,1996-06-01,0,0,Hackett Classics,359,,18,Paperback,"Drawn from the translations and editorial aids of Irwin and Fine's Aristotle, ""Selections"" (Hackett Publishing Co., 1995), this anthology will be most useful to instructors who must try to do justice to Aristotle in a semester-long ancient-philosophy survey, but it will also be appropriate for a variety of introductory-level courses. ""Introductory Readings"" provides accurate, readable, and integrated translations that allow the reader to follow Aristotle's use of crucial technical terms and to grasp the details of his argument. Included are adaptations of the glossary and notes that helped make its parent volume a singularly useful aid to the study of Aristotle.",,English,2017-11-06 23:22:31,2017-11-06 23:22:31,5992a9a0eef1312a53141ccf5287c935
414,"Euripides, |Grene, David|Lattimore, Richmond|Vermeule, Emily Townsend|Wyckoff, Elizabeth|Arrowsmith, William",Euripides V: Electra / The Phoenician Women / The Bacchae,226307840,University of Chicago Press,1969-01-15,0,0,Vol (5),228,,12,Paperback,"<div>In nine paperback volumes, the Grene and Lattimore editions offer the most comprehensive selection of the Greek tragedies available in English. Over the years these authoritative, critically acclaimed editions have been the preferred choice of over three million readers for personal libraries and individual study as well as for classroom use.</div>",Drama / Ancient & Classical,English,2017-11-06 23:22:42,2017-11-06 23:22:42,215b4c5432eb6ad513b8f54cdbcca5a9
415,"Euripides, |Lattimore, Richmond|Grene, David|Warner, Rex|Gladstone, Ralph",Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,226307808,University of Chicago Press,1955-02-15,0,0,Vol (3),221,,12,Paperback,"This volume contains the following tragedies by Euripides:<br /><br />1. Alcestis, translated by Richmond Lattimore<br />2. The Medea, translated by Rex Warner<br />3. The Heracleidae, translated by Ralph Gladstone<br />4. Hippolytus, translated by David Grene<br /><br /><div>In nine paperback volumes, the Grene and Lattimore editions offer the most comprehensive selection of the Greek tragedies available in English. Over the years these authoritative, critically acclaimed editions have been the preferred choice of over three million readers for personal libraries and individual study as well as for classroom use.</div>",,English,2017-11-06 23:23:02,2017-11-06 23:23:02,5743d94e136ca84947549bb6e0968fbb
416,"Sophocles, |Lattimore, Richmond|Grene, David","Sophocles I: Oedipus The King, Oedipus at Colonus, Antigone",226307921,University of Chicago Press,1991-08-15,0,0,The Theban Plays|The Complete Greek Tragedies (8),218,,12,Paperback,"Antigone defending her integrity and ideals to the death, Oedipus questing for his identity and achieving immortality - these heroic figures have moved theatergoers and readers wince the fifthe century B.C.<br /><br />Towering over the rest of greek tragedy, these three plays are among the most enduring and timeless dramas ever written, Robert Fagles' translation conveys all of Sophocles'lucidity and power: the cut and thrust of his dialogue, his ironic edge, the surge and majesty of choruses and, above all, the agonies and triumphs of his characters.<br /><br />Introduction and Notes by Bernard Knox<br /><br />-entries revised and updated by Fran De Leon",Poetry / Ancient & Classical,English,2017-11-06 23:23:14,2017-11-06 23:23:14,5948588dfc23524d9c88c9822f411efa
417,"Ovid, ","Metamorphoses, The",451626222,Signet,1960-05-01,0,0,,448,,6.99,Paperback,This collection of poetry is one of the foremost sources of tales of Roman mythology.,,English,2017-11-06 23:23:31,2017-11-06 23:23:31,1314d627d746a4257e8f4c39de63a6db
418,"Herlihy, David","Black Death and the Transformation of the West, The",674076133,Harvard University Press,1997-09-28,0,0,,128,,22,Paperback,"The Black Death was the great watershed in medieval history. In this compact book, David Herlihy makes bold yet subtle and subversive inquiries that challenge historical thinking about this disastrous period. As in a finely tuned detective story, he upturns intriguing bits of epidemiological evidence. And, looking beyond the view of the Black Death as unmitigated catastrophe, Herlihy sees in it the birth of technological advance as societies struggled to create labor-saving devices in the wake of population losses. New evidence for the plague's role in the establishment of universities, the spread of Christianity, the dissemination of vernacular cultures, and even the rise of nationalism demonstrates that this cataclysmic event marked a true turning point in history.",,English,2017-11-06 23:23:53,2017-11-06 23:23:53,a73302aafda29197b9697aa54d98aff3
419,"Lucado, Max|Anonymous, ","Inspirational Study Bible: Life Lessons from the Inspired Word of God -New King James Version, The",849951232,Thomas Nelson,1995-03-07,0,0,,1560,,39.99,Hardcover,"The Inspirational Study Bible - New King James Version: Max Lucado,<br /><br />The Inspirational Study Bible presents the complete text of the Bible together with over seven hundred essential ""life lessons."" Each of these teaching units are designed to give the reader a new understanding and appreciation of specific passages of Scripture.",Bibles / King James Version / General,English,2017-11-06 23:25:10,2017-11-06 23:25:10,eee85a5605c58a4dde7e9e2066e54409
420,"Hippo, Augustine of|Pine-Coffin, R.S.|Augustine, Saint",Confessions,014044114X,Penguin Books,1961-11-30,0,0,Penguin Classics,346,,10,Paperback,"The son of a pagan father and a Christian mother, Saint Augustine spent his early years torn between conflicting faiths and world views. His Confessions, written when he was in his forties, recount how, slowly and painfully, he came to turn away from his youthful ideas and licentious lifestyle, to become instead a staunch advocate of Christianity and one of its most influential thinkers. A remarkably honest and revealing spiritual autobiography, the Confessions also address fundamental issues of Christian doctrine, and many of the prayers and meditations it includes are still an integral part of the practice of Christianity today.",,English,2017-11-06 23:25:33,2017-11-06 23:25:33,0869b30be45342b9dcd0c09270a65b01
421,"Unknown, |Raffel, Burton|Anonymous, ",Beowulf,451627954,Signet,1987-08-05,0,0,Mentor,160,,4.99,Mass Market Paperback,"The earliest extant poem in a modern European language, Beowulf was composed 400 years before the Norman Conquest. As a social document, this great epic poem reflects a feudal, newly Christian world of heroes and monsters, blood and victory and death. As a work of art, it rings with a beauty, power, and artistry that have kept it alive for more than twelve centuries.<br /><br />This edition includes an introduction, an afterword, a glossary of names, and a genealogy.",,English,2017-11-06 23:25:54,2017-11-06 23:25:54,84aa0ad766b2ecca2dbd5bf609849fc4
